schema,table,column,type,mandatory,description
refs_fishery,buoy_models,name_en,character varying(50),YES,
refs_fishery,buoy_models,is_echo_sounder,boolean,YES,
refs_fishery,buoy_models,brand,character varying(20),YES,
refs_fishery,buoy_models,start_year,integer,NO,
refs_fishery,buoy_models,comment,character varying(255),NO,
refs_fishery,buoy_models,active,boolean,YES,
refs_fishery,cardinal_points,code,character varying(3),YES,
refs_fishery,cardinal_points,name_en,character varying(255),YES,
refs_fishery,cardinal_points,name_fr,character varying(255),YES,
refs_fishery,catch_units,code,character varying(2),YES,
refs_fishery,catch_units,name_en,character varying(255),YES,
refs_fishery,catch_units,name_fr,character varying(255),YES,
refs_fishery,dehooker_types,code,character(2),YES,
refs_fishery,dehooker_types,name_en,character varying(255),YES,
refs_fishery,dehooker_types,name_fr,character varying(255),YES,
refs_fishery,dehooker_types,description_en,character varying(4096),YES,
refs_fishery,dehooker_types,description_fr,character varying(4096),YES,
refs_fishery,dfad_biodegradability_categories,code,character varying(4),YES,
refs_fishery,dfad_biodegradability_categories,name_en,character varying(15),YES,
refs_fishery,dfad_biodegradability_categories,name_fr,character varying(15),YES,
refs_fishery,dfad_biodegradability_categories,description_en,character varying(300),YES,
refs_fishery,dfad_biodegradability_categories,description_fr,character varying(300),YES,
refs_fishery,dfad_biodegradability_categories,state,character varying(10),YES,
refs_fishery,effort_units,code,character(2),YES,
refs_fishery,effort_units,name_en,character varying(255),YES,
refs_fishery,effort_units,name_fr,character varying(255),YES,
refs_fishery,effort_units,description_en,character varying(4096),YES,
refs_fishery,effort_units,description_fr,character varying(4096),YES,
refs_fishery,fad_raft_designs,code,character(2),YES,
refs_fishery,fad_raft_designs,code_orig,character varying(3),YES,
refs_fishery,fad_raft_designs,name_en,character varying(255),YES,
refs_fishery,fad_raft_designs,name_fr,character varying(255),YES,
refs_fishery,fad_raft_designs,description_en,character varying(4096),YES,
refs_fishery,fad_raft_designs,description_fr,character varying(4096),YES,
refs_fishery,fad_tail_designs,code,character(2),YES,
refs_fishery,fad_tail_designs,code_orig,character varying(3),YES,
