schema,table,column,type,mandatory,description
ros_ll,additional_catch_details_on_ssi,gear_interaction_code,character(2),NO,
ros_ll,additional_catch_details_on_ssi,handling_method_code,character(2),NO,
ros_ll,additional_catch_details_on_ssi,leader_material_type_code,character(2),NO,
ros_ll,additional_catch_details_on_ssi,hook_type_code,character(3),NO,
ros_ll,additional_catch_details_on_ssi,leader_thickness_value,double precision,NO,
ros_ll,additional_catch_details_on_ssi,leader_thickness_unit,character varying(3),NO,
ros_ll,additional_catch_details_on_ssi,brought_on_board,character varying(5),NO,
ros_ll,additional_catch_details_on_ssi,light_attached_to_branchline,character varying(5),NO,
ros_ll,additional_catch_details_on_ssi,revival,character varying(5),NO,
ros_ll,baits_by_conditions,id,integer,YES,
ros_ll,baits_by_conditions,dye_colour,character varying(255),NO,
ros_ll,baits_by_conditions,ratio,double precision,NO,
ros_ll,baits_by_conditions,setting_operation_id,integer,YES,
ros_ll,baits_by_conditions,bait_condition_code,character(2),NO,
ros_ll,baits_by_conditions,species_code,character varying(16),NO,
ros_ll,biteoffs_by_branchlines_set,id,integer,YES,
ros_ll,biteoffs_by_branchlines_set,branchline_configuration_number,integer,NO,
ros_ll,biteoffs_by_branchlines_set,number_of_biteoffs,integer,NO,
ros_ll,biteoffs_by_branchlines_set,hauling_operation_id,integer,YES,
ros_ll,branchline_configurations,id,integer,YES,
ros_ll,branchline_configurations,configuration_number,integer,NO,
ros_ll,branchline_configurations,gear_specification_id,integer,YES,
ros_ll,branchline_configurations_storage,branchline_configuration_id,integer,YES,
ros_ll,branchline_configurations_storage,branchline_storage_code,character(2),YES,
ros_ll,branchline_sections,id,integer,YES,
ros_ll,branchline_sections,section_number,integer,NO,
ros_ll,branchline_sections,branchline_configuration_id,integer,YES,
ros_ll,branchline_sections,branchline_material_type_code,character(2),NO,
ros_ll,branchline_sections,diameter_value,double precision,NO,
ros_ll,branchline_sections,diameter_unit,character varying(3),NO,
ros_ll,branchline_sections,length_value,double precision,NO,
ros_ll,branchline_sections,length_unit,character varying(3),NO,
ros_ll,branchlines_set,id,integer,YES,
ros_ll,branchlines_set,branchline_configuration_number,integer,NO,
ros_ll,branchlines_set,number_of_branchlines,integer,NO,
ros_ll,branchlines_set,setting_operation_id,integer,YES,
ros_ll,catch_details,id,integer,YES,
ros_ll,catch_details,catch_detail_original_id,character varying(255),YES,
ros_ll,catch_details,comments,text,NO,
ros_ll,catch_details,estimated_catch_in_numbers,integer,NO,
ros_ll,catch_details,fishing_event_id,integer,NO,
ros_ll,catch_details,type_of_fate_code,character(2),NO,
ros_ll,catch_details,estimated_weight_sampling_method_code,character(2),NO,
ros_ll,catch_details,fates_code,character(2),NO,
ros_ll,catch_details,species_code,character varying(16),NO,
ros_ll,catch_details,estimated_weight_value,double precision,NO,
ros_ll,catch_details,estimated_weight_unit,character varying(3),NO,
ros_ll,catch_details,estimated_weight_type_of_measurement_code,character(2),NO,
ros_ll,catch_details,estimated_weight_processing_type_code,character(2),NO,
ros_ll,catch_details,estimated_weight_method_code,character(2),NO,
ros_ll,fishing_events,id,integer,YES,
ros_ll,fishing_events,comments,text,NO,
ros_ll,fishing_events,event_original_id,character varying(255),NO,
ros_ll,fishing_events,hauling_operation_id,integer,NO,
ros_ll,fishing_events,mitigation_measure_id,integer,NO,
ros_ll,fishing_events,setting_operation_id,integer,NO,
ros_ll,fishing_events,trip_id,integer,YES,
ros_ll,floatlines,id,integer,YES,
ros_ll,floatlines,floatline_number,integer,NO,
ros_ll,floatlines,setting_operation_id,integer,YES,
ros_ll,floatlines,floatline_length_value,double precision,NO,
ros_ll,floatlines,floatline_length_unit,character varying(3),NO,
ros_ll,gear_specifications,id,integer,YES,
ros_ll,gear_specifications,storage,character varying(255),NO,
ros_ll,gear_specifications,tori_line_detail_id,integer,NO,
ros_ll,gear_specifications,trip_id,integer,YES,
ros_ll,gear_specifications,bait_casting_machine,character varying(5),NO,
ros_ll,gear_specifications,line_hauler,character varying(5),NO,
ros_ll,gear_specifications,line_setter,character varying(5),NO,
ros_ll,gear_specifications_mitigation_device,gear_specification_id,integer,YES,
ros_ll,gear_specifications_mitigation_device,mitigation_device_code,character(2),YES,
ros_ll,hauling_offal_disposal_positions,hauling_operation_id,integer,YES,
ros_ll,hauling_offal_disposal_positions,offal_disposal_position,character varying(255),YES,
ros_ll,hauling_operations,id,integer,YES,
ros_ll,hauling_operations,end_hauling_date_and_time,timestamp(6) without time zone,NO,
ros_ll,hauling_operations,number_of_hooks_observed,integer,NO,
ros_ll,hauling_operations,offal_management,character varying(255),NO,
