schema,table,foreign_key,columns,target_schema,target_table,target_columns
ros_ll,specimens,llspcimenslltgdetailid,tag_detail_id,ros_ll,tag_details,id
ros_ll,specimens,llspcmnsbmtrcnfrmtonid,biometric_information_id,ros_common,biometric_information,id
ros_ll,specimens,llspcmnsllctchdetailid,catch_detail_id,ros_ll,catch_details,id
ros_ll,specimens,llspcmnslldprdtndtilid,depredation_detail_id,ros_common,depredation_details,id
ros_ll,tag_details,fk_ros_ll_tag_details_tag_recovery,tag_recovery,refs_data,logical_responses,code
ros_ll,tag_details,fk_ros_ll_tag_details_tag_release,tag_release,refs_data,logical_responses,code
ros_ll,tag_details,fk_ros_ll_tag_type_code_ll_tag_details,tag_type_code,refs_biology,tag_types,code
ros_ll,tag_details,fk_tag_details_tag_finder_id,tag_finder_id,ros_meta,contact,id
ros_ll,tori_line_details,fk_ros_ll_tori_line_details_streamers_reach_surface,streamers_reach_surface,refs_data,logical_responses,code
ros_pl,additional_catch_details_on_ssi,fk_ros_pl_additional_catch_details_on_ssi_brought_on_board,brought_on_board,refs_data,logical_responses,code
ros_pl,additional_catch_details_on_ssi,fk_ros_pl_additional_catch_details_on_ssi_revival,revival,refs_data,logical_responses,code
ros_pl,additional_catch_details_on_ssi,fk_ros_pl_gear_interaction_code_pl_additional_catch_details_on_,gear_interaction_code,refs_biology,gear_interactions,code
ros_pl,additional_catch_details_on_ssi,fk_ros_pl_handling_method_code_pl_additional_catch_details_on_s,handling_method_code,refs_biology,handling_methods,code
ros_pl,bait_fishing_event_pl_catch_detail,plbtfshngplbtfshngvntd,bait_fishing_event_id,ros_pl,bait_fishing_events,id
ros_pl,bait_fishing_events,btfshngvplbtfshngprtnd,bait_fishing_operation_id,ros_pl,bait_fishing_operations,id
ros_pl,bait_fishing_events,fk_ros_pl_bait_fishing_events_trip,trip_id,ros_common,trip,id
ros_pl,bait_fishing_operations,fk_ros_pl_bait_fishing_method_code_bait_fishing_operations,bait_fishing_method_code,refs_fishery,bait_fishing_methods,code
ros_pl,bait_fishing_operations,fk_ros_pl_sampling_protocol_code_bait_fishing_operations,sampling_protocol_code,refs_biology,sampling_protocols,code
ros_pl,baits_and_conditions,fk_ros_pl_bait_condition_code_baits_and_conditions,bait_condition_code,refs_biology,bait_conditions,code
ros_pl,baits_and_conditions,fk_ros_pl_species_code_baits_and_conditions,species_code,refs_biology,species,code
ros_pl,catch_details,fk_ros_pl_estimated_weight_sampling_method_code_pl_catch_detail,estimated_weight_sampling_method_code,refs_biology,sampling_methods_for_catch_estimation,code
ros_pl,catch_details,fk_ros_pl_fates_code_pl_catch_details,fates_code|type_of_fate_code,refs_biology,fates,code|type_of_fate_code
ros_pl,catch_details,fk_ros_pl_species_code_pl_catch_details,species_code,refs_biology,species,code
ros_pl,gear_specifications,fk_ros_pl_gear_specifications_hook_type_code,hook_type_code,refs_fishery,hook_and_terminal_devices,code
ros_pl,gear_specifications,fk_ros_pl_gear_specifications_trip,trip_id,ros_common,trip,id
ros_pl,lures_or_jiggers_by_type,fk_ros_pl_hook_type_code_lures_or_jiggers_by_type,hook_type_code,refs_fishery,hook_and_terminal_devices,code
ros_pl,lures_or_jiggers_by_type,fk_ros_pl_lures_or_jiggers_by_type_gear_specifications_id,gear_specification_id,ros_pl,gear_specifications,id
ros_pl,specimens,ddtnlspcmndtlsnntrgtsp,additional_specimen_details_non_target_species_id,ros_common,additional_details_on_non_target_species,id
ros_pl,specimens,plplddtnlctchdtlsnsssd,additional_catch_details_on_ssis_id,ros_pl,additional_catch_details_on_ssi,id
ros_pl,specimens,plspcimenspltgdetailid,tag_detail_id,ros_pl,tag_details,id
ros_pl,specimens,plspcmnsbmtrcnfrmtonid,biometric_information_id,ros_common,biometric_information,id
ros_pl,specimens,plspcmnsplctchdetailid,catch_detail_id,ros_pl,catch_details,id
ros_pl,specimens,plspcmnspldprdtndtilid,depredation_detail_id,ros_common,depredation_details,id
ros_pl,tag_details,fk_ros_pl_tag_details_tag_recovery,tag_recovery,refs_data,logical_responses,code
ros_pl,tag_details,fk_ros_pl_tag_details_tag_release,tag_release,refs_data,logical_responses,code
ros_pl,tag_details,fk_ros_pl_tag_type_code_pl_tag_details,tag_type_code,refs_biology,tag_types,code
ros_pl,tag_details,fk_tag_details_tag_finder_id,tag_finder_id,ros_meta,contact,id
ros_pl,tuna_fishing_event_pl_catch_detail,pltnfshngpltnfshngvntd,tuna_fishing_event_id,ros_pl,tuna_fishing_events,id
ros_pl,tuna_fishing_event_pl_catch_detail,pltnfshngvntplctchdtld,catch_detail_id,ros_pl,catch_details,id
ros_pl,tuna_fishing_events,fk_ros_pl_tuna_fishing_events_trip,trip_id,ros_common,trip,id
ros_pl,tuna_fishing_events,tnfshngvntsplbjctdtlid,object_detail_id,ros_pl,object_details,id
ros_pl,tuna_fishing_events,tnfshngvpltnfshngprtnd,tuna_fishing_operation_id,ros_pl,tuna_fishing_operations,id
